Year,NumberofInternetUsers(million),WorldPopulation(millions),%ofPopulationwithInternetAccess,NumberofUserswithoutinternet(millions)
2005,1023,6641.42,17.9,5618.42
2006,1147,6725.95,19.3,5578.95
2007,1367,6811.6,20.8,5444.6
2008,1545,6898.31,22.5,5353.31
2009,1727,6985.6,24.3,5258.6
2010,1981,7073.13,26.2,5092.13
2011,2174,7161.7,28.3,4987.7
2012,2387,7250.59,30.6,4863.59
2013,2562,7339.01,33.2,4777.01
2014,2750,7426.6,36.4,4676.6
2015,2954,7513.47,40.1,4559.47
2016,3217,7599.82,44.1,4382.82
2017,3444,7683.79,48.7,4239.79
2018,3729,7764.95,53.7,4035.95
2019,4119,7840.95,59.2,3721.95
2020,4585,7909.3,67.7,3324.3
2021,4901,7975.11,66.6,3074.11
2022,5300,8045.31,66.5,2745.31
